"PIN","sex","age","condition","shock","tipi1","tipi2","tipi3","tipi4","tipi5","tipi6","tipi7","tipi8","tipi9","tipi10","preShare","postShare","guilt"
673,"male",21,"partner_bad","medium",1,2,5,4,5,7,4,3,5,1,3,1,3
674,"male",20,"partner_bad","medium",5,2,4,4,5,2,5,5,5,3,3,0,2
675,"male",20,"partner_bad","medium",3,5,5,2,5,5,4,3,7,5,4,0,3
676,"male",20,"partner_bad","medium",4,3,5,6,3,3,6,4,3,4,1,0,3
677,"male",20,"partner_bad","medium",3,6,3,3,5,4,4,3,5,2,3,0,3
678,"male",21,"partner_bad","medium",1,4,4,4,4,4,4,2,5,5,2,0,3
679,"male",19,"partner_bad","medium",6,4,4,6,3,2,6,2,4,2,5,2,3
680,"male",18,"partner_bad","medium",4,3,4,3,3,4,4,2,5,5,3,2,4
681,"male",20,"partner_bad","medium",5,4,2,5,5,4,5,3,4,5,3,1,4
682,"male",21,"partner_bad","medium",5,4,5,5,4,4,4,4,3,5,4,1,3
683,"male",21,"partner_bad","medium",4,4,4,3,4,2,4,3,5,6,4,1,2
684,"male",20,"partner_bad","medium",4,2,4,4,4,4,5,6,5,5,4,1,4
685,"male",21,"partner_bad","medium",2,1,4,6,3,4,5,4,3,4,5,3,3
686,"male",21,"partner_bad","medium",4,5,4,2,5,3,4,5,5,2,4,0,4
687,"male",20,"partner_bad","medium",4,2,5,2,4,4,3,3,5,2,5,2,3
688,"male",21,"partner_bad","medium",4,5,5,3,4,6,5,5,4,6,4,1,4
689,"male",22,"partner_bad","medium",6,4,5,5,4,4,2,4,2,3,4,0,3
690,"male",21,"partner_bad","medium",4,4,6,5,6,5,3,5,6,2,4,0,4
691,"male",19,"partner_bad","low",3,1,6,4,4,5,7,3,3,2,5,3,3
692,"male",19,"partner_bad","low",4,6,5,2,4,3,2,4,6,3,5,0,2
693,"male",21,"partner_bad","low",3,2,3,2,5,4,6,5,5,4,4,1,2
694,"male",19,"partner_bad","low",3,4,3,4,4,4,3,5,6,3,3,0,2
695,"male",20,"partner_bad","low",1,2,4,4,6,5,3,3,4,3,6,3,2
696,"male",21,"partner_bad","low",2,6,1,4,6,3,2,5,5,2,5,0,2
697,"male",21,"partner_bad","low",3,7,4,5,3,4,1,3,4,3,6,1,2
698,"male",21,"partner_bad","low",4,5,5,3,5,5,4,4,3,3,2,0,2
699,"male",18,"partner_bad","low",4,4,4,4,2,3,6,4,4,5,4,0,3
700,"male",19,"partner_bad","low",3,3,4,2,5,5,3,3,6,3,3,0,2
701,"male",18,"partner_bad","low",5,2,4,2,3,2,5,6,4,4,4,0,3
702,"male",19,"partner_bad","low",2,6,4,3,4,5,3,5,6,6,4,0,2
703,"male",19,"partner_bad","low",2,4,5,4,4,3,1,1,4,1,7,2,2
704,"male",20,"partner_bad","low",5,3,5,4,4,4,3,3,4,7,3,0,3
705,"male",20,"partner_bad","low",3,6,4,4,5,4,2,2,5,4,4,0,3
706,"male",19,"partner_bad","low",5,5,4,4,4,5,4,3,3,4,5,1,3
707,"male",18,"partner_bad","low",6,5,3,3,3,2,3,3,5,6,5,0,1
708,"male",21,"partner_bad","low",3,4,4,2,4,3,2,4,4,4,3,0,1
709,"male",18,"partner_bad","low",3,3,4,4,4,4,4,2,4,2,4,0,1
710,"male",19,"partner_bad","low",4,3,4,4,4,4,3,2,3,4,3,0,2
711,"male",21,"partner_bad","low",5,3,5,4,3,4,3,3,5,3,3,0,2
712,"male",18,"partner_bad","low",3,5,5,4,4,4,3,2,5,4,4,0,1
713,"male",19,"partner_bad","low",4,4,5,3,3,4,4,1,5,4,3,0,2
714,"male",20,"partner_bad","low",5,3,4,4,3,3,5,3,4,3,2,0,4
715,"male",21,"partner_bad","low",2,7,5,4,4,4,3,4,4,4,2,0,2
716,"male",21,"partner_bad","low",3,3,5,3,3,5,4,5,6,4,4,1,3
717,"male",18,"partner_bad","low",4,5,3,1,2,4,2,2,4,5,1,0,2
718,"male",22,"partner_bad","low",5,6,3,5,4,4,3,5,3,4,4,0,2
719,"male",20,"partner_bad","low",3,2,7,4,4,5,5,1,4,3,6,2,3
720,"male",21,"partner_bad","low",5,3,5,3,4,3,3,3,4,6,5,1,2
